ID,Attraction,Location,City,Best time to visit,Type,Description,Rating,image_urls,Best hour to visit,Entry fee,Distance from Cairo (km)
387,El Gharam Beach,"https://www.google.com/maps/search/?api=1&query=El+Gharam+Beach,+Marsa+Matrouh",Marsa Matrouh,May to October,Beach,"A well-known beach with calm waters, ideal for families and relaxation.",4.1,https://drive.google.com/uc?export=download&id=1-fofh4W58UJNGhghZ2NnhEJZ5_CZKDRR;https://drive.google.com/uc?export=download&id=1zfvD1LwH8QXqX6JBOguxSXIuZ3j54yKJ;https://drive.google.com/uc?export=download&id=1cxdi1Me9mCq3G0TgGGld5T8AdRmDWjN1,Morning (8 AM - 11 AM) or Late Afternoon (4 PM - Sunset),120EGP,450
388,Gharam Rock,"https://www.google.com/maps/search/?api=1&query=Gharam+Rock,+Marsa+Matrouh",Marsa Matrouh,May to October,Nature,A coastal rock formation associated with local legends and myths.,3.6,https://drive.google.com/uc?export=download&id=1inJmA4xbKK3We4tvmkwqh2a_4FMDATlC;https://drive.google.com/uc?export=download&id=1DzMqO1o0Ni0PosaAXQ7LL0X3W-garWZm;https://drive.google.com/uc?export=download&id=16F0jftorywS2B2OyXLIoUBmt6VrIrbzB,Morning (8 AM - 11 AM) or Late Afternoon (4 PM - Sunset),included Elgharam beach ticket,450
389,Lido Beach,"https://www.google.com/maps/search/?api=1&query=Lido+Beach,+Marsa+Matrouh",Marsa Matrouh,May to October,Nature and Beach,"A lively beach with a vibrant atmosphere, featuring cafe, entertainment, and water activities.",3.8,https://drive.google.com/uc?export=download&id=19L0zydM0HmNhTTkeo3RiCiL_MVIt2rPh;https://drive.google.com/uc?export=download&id=1HaE2zCl6rkwa7fhwjJXFPXSOCf5clHh4;https://drive.google.com/uc?export=download&id=1N8uYPU3BzG4Jr7clIDIeeKi32IRC2Xyd;https://drive.google.com/uc?export=download&id=1Pad6-b0JfDYW27TkZlcgrnWnRteIX7gh,Morning (8 AM - 11 AM) or Late Afternoon (4 PM - Sunset),70EGP,450
390,Marsa Matrouh Corniche,"https://www.google.com/maps/search/?api=1&query=Marsa+Matrouh+Corniche,+Marsa+Matrouh",Marsa Matrouh,May to October,scenic waterfront promenade ,A scenic seaside promenade offering breathtaking views and a vibrant atmosphere.,4.5,https://drive.google.com/uc?export=download&id=1GCaN6TMBlnuQ9WcNd-LdzsaCtAGa06Qz;https://drive.google.com/uc?export=download&id=1t_kmy_ADgyWjzIDNYKyV-ManAF5afzM4;https://drive.google.com/uc?export=download&id=17wvteCJsr8OdWky4N_xFL4GQeyTf3VCD;https://drive.google.com/uc?export=download&id=17jJHQY-yt9TMX1j0ackSsXasm-P1Ghs2;https://drive.google.com/uc?export=download&id=1iMbfmJgmeFU8oyJs_QGV2nQF4uAdVFfQ,Morning (8 AM - 12 PM) or Evening (5 PM - 8 PM),0 EGP,450
391,Marsa Matrouh Public Beaches,"https://www.google.com/maps/search/?api=1&query=Marsa+Matrouh+Public+Beaches,+Marsa+Matrouh",Marsa Matrouh,May to October,Nature and Beach,"A collection of pristine sandy beaches with crystal-clear waters, ideal for swimming and sunbathing.",4.7,https://drive.google.com/uc?export=download&id=1YZGnWWyvrxWEKSihaT5BopGBbCGo_yru;https://drive.google.com/uc?export=download&id=10ntmYsID4DYJ27CQBZc78Za2KOKFgTLm;https://drive.google.com/uc?export=download&id=1YN132vrn8Mr3Whb9nJ4Q7SQbaEhpDvYN,Morning (8 AM - 11 AM) or Late Afternoon (4 PM - Sunset),50EGP,450
392,Marsa Matrouh Sand Dunes,"https://www.google.com/maps/search/?api=1&query=Marsa+Matrouh+Sand+Dunes,+Marsa+Matrouh",Marsa Matrouh,May to October,Nature,"Golden dunes surrounding the city, offering desert exploration and thrilling sandboarding opportunities.",4,https://drive.google.com/uc?export=download&id=1DPJCfbsTw5UGcJ6DaF65uSRkNK8N-oI3;https://drive.google.com/uc?export=download&id=1YG8Y8-HFrOuEykhicoscKs5yjT3bjGKA;https://drive.google.com/uc?export=download&id=188Qo6CRr2Bn_DuM9dt9BEJnbrhP-K0Wd,Morning (8 AM - 12 PM) or late afternoons (after 4:00 PM),250-600 EGP,450
393,Marsa Matrouh Sunken ,"https://www.google.com/maps/search/?api=1&query=Marsa+Matrouh+Sunken+City,+Marsa+Matrouh",Marsa Matrouh,May to October,Nature,An ancient underwater site with ruins that can be explored by snorkeling or diving.,4.3,https://drive.google.com/uc?export=download&id=1DPJCfbsTw5UGcJ6DaF65uSRkNK8N-oI3;https://drive.google.com/uc?export=download&id=1YG8Y8-HFrOuEykhicoscKs5yjT3bjGKA;https://drive.google.com/uc?export=download&id=188Qo6CRr2Bn_DuM9dt9BEJnbrhP-K0Wd,Morning (8 AM - 12 PM) or Late afternoon(3pm-5pm),0 EGP,450
394,Marsa Matrouh Water Park,"https://www.google.com/maps/search/?api=1&query=Marsa+Matrouh+Water+Park,+Marsa+Matrouh",Marsa Matrouh,May to October,Nature Escape,"A fun-filled family destination featuring pools, slides, and water attractions.",3.9,https://drive.google.com/uc?export=download&id=1pJfZYTiMJj5QSYYgzhAt-88SJyGczQAy;https://drive.google.com/uc?export=download&id=1OV6E8qAHJU_GmZimDh3jgNYE5Y1ELVHe;https://drive.google.com/uc?export=download&id=1ITgHEEh69P-ILb8PjL-nPY1wY1yMy61k;https://drive.google.com/uc?export=download&id=1Ncdof8HswW8ASqcaT7FDBf1gRB6fQ6vq,Morning (8 AM - 12 PM) or Evening (5 PM - 8 PM),150 EGP,450
395,Matrouh Crystal Lagoon,"https://www.google.com/maps/search/?api=1&query=Matrouh+Crystal+Lagoon,+Marsa+Matrouh",Marsa Matrouh,May to October,Water activity,"A stunning natural lagoon with transparent turquoise waters, ideal for relaxation and water activities.",4.8,https://drive.google.com/uc?export=download&id=19DPXCuYWjZdvE79-GeX_QE0hTT_mkSnv;https://drive.google.com/uc?export=download&id=1gpSywRtrGNCMzW2uPU9jOciUcwIvMz2V;https://drive.google.com/uc?export=download&id=15J19gtqImtcO66SeQJIv5ecDKs3d2WPC;https://drive.google.com/uc?export=download&id=1-iHepgjhQjjGJKpO9AxC2X5-CTWDdIbA,Morning (8 AM - 12 PM) or late afternnon (3 PM - sunset),0 EGP,450
396,Ras El Hekma Bay,"https://www.google.com/maps/search/?api=1&query=Ras+El+Hekma+Bay,+Marsa+Matrouh",Marsa Matrouh,May to October,Beach,"A breathtaking coastal area with powdery white sand and clear blue waters, perfect for swimming and water sports.",4.5,https://drive.google.com/uc?export=download&id=12G8g2r0Qj6toSKXyJfu1tG8WELytKalx;https://drive.google.com/uc?export=download&id=1BvB7hNBKhE7GcWSQkisZvPn327C5gsEg;https://drive.google.com/uc?export=download&id=1CC69sw3BPL20gdjeOgEq5FZvc5tN8IJO;https://drive.google.com/uc?export=download&id=1GELg0wgxeozFb_Ttteid-x4JZtSp-og4;https://drive.google.com/uc?export=download&id=1nQFFsdCk0KkeYX9VNmOWFTvu2qFhulAC;https://drive.google.com/uc?export=download&id=1bEP_FTLVoJgMZXKiBHHUNOZXShTIk1Al;https://drive.google.com/uc?export=download&id=1flY4kChLkhWpE2DmhezARs6tGF0RcIU2;https://drive.google.com/uc?export=download&id=17eFVTrOnz207aC8prkI-Pf8aG-u1oRQt,Morning (8 AM - 12 PM) or Evening (5 PM - 8 PM),12000EGP,450
397,Rommel's Cave Museum,"https://www.google.com/maps/search/?api=1&query=Rommel's+Cave+Museum,+Marsa+Matrouh",Marsa Matrouh,May to October,Cultural,"Rommel's Cave Museum in Marsa Matrouh showcases a vast collection of artifacts, offering a journey through Egypt rich history and cultural heritage.",4.4,https://drive.google.com/uc?export=download&id=1V3QBb8KiMq7rp9YggGezCV3ZgiIdvizB;https://drive.google.com/uc?export=download&id=18eddT-AdPwLg5U68eLF92RFJmdr3uvOW;https://drive.google.com/uc?export=download&id=1UYokv9H2Qp9hyAL1JsCa76eri3Q87oPt,Morning (9 AM - 12 PM) or Late Afternoon (4 PM - 7 PM),10EGP,450
398,Salt Cave Spa,"https://www.google.com/maps/search/?api=1&query=Salt+Cave+Spa,+Marsa+Matrouh",Marsa Matrouh,May to October,Natural Wonder,A therapeutic spa featuring rooms built entirely from Siwan salt crystals.,4.6,https://drive.google.com/uc?export=download&id=1F1sOnm5Iy3Wkkci-FrdEdmrkRg3o6s0Y;https://drive.google.com/uc?export=download&id=1SQMVtn6UqlOnV0nNkRpbzXWmfi1-DwQ_;https://drive.google.com/uc?export=download&id=1agSXKnFKWHkbmyPdA7Ke7n8FGMwI-zfR;https://drive.google.com/uc?export=download&id=1F1sOnm5Iy3Wkkci-FrdEdmrkRg3o6s0Y;https://drive.google.com/uc?export=download&id=1SQMVtn6UqlOnV0nNkRpbzXWmfi1-DwQ_;https://drive.google.com/uc?export=download&id=1agSXKnFKWHkbmyPdA7Ke7n8FGMwI-zfR;https://drive.google.com/uc?export=download&id=1JEM1PAtdKVYw-8NyWTyisT2r2fzB4Zxl,Morning (8 AM - 12 PM) or Evening (5 PM - 8 PM),700EGP,450
399,Sidi Abdel Rahman Bay,"https://www.google.com/maps/search/?api=1&query=Sidi+Abdel+Rahman+Bay,+Marsa+Matrouh",Marsa Matrouh,May to October,beach,A beautiful bay with soft sandy beaches and luxurious resorts.,4.8,https://drive.google.com/uc?export=download&id=1_3nb0FxdFbKkMooJ246r_7NqCLOiwwOg;https://drive.google.com/uc?export=download&id=1eEMmiD1sbi7_4bI4MhRd_20_MdbbRfrA;https://drive.google.com/uc?export=download&id=1o73TKqOHdfkAUn8Zajlk4dJkFwHX2e7C;https://drive.google.com/uc?export=download&id=1B-PUmJnp24YfvUjXQwoqtsKDAIsXh-ZY,ALL the day,10000EGP,450
400,Sidi El Barrani Beach,"https://www.google.com/maps/search/?api=1&query=Sidi+El+Barrani+Beach,+Marsa+Matrouh",Marsa Matrouh,May to October,Beach,"A tranquil, unspoiled beach perfect for a peaceful getaway.",4.8,https://drive.google.com/uc?export=download&id=17SK7MPj5URv_fX2QdGV0V5p0fMNXn5na;https://drive.google.com/uc?export=download&id=19BN_vvsTicytydSgiQaq6jqdbAoELdi2;https://drive.google.com/uc?export=download&id=1sAv1rhKVwIgfe-yVbe39GRSdwxUBQUgh,Morning (8 AM - 11 AM) or Late Afternoon (4 PM - Sunset),300EGP,450
401,Sidi Heneish Bay,"https://www.google.com/maps/search/?api=1&query=Sidi+Heneish+Bay,+Marsa+Matrouh",Marsa Matrouh,May to October,Beach,"A secluded bay with crystal-clear waters, ideal for swimming and water activities.",3.5,https://drive.google.com/uc?export=download&id=10dr8iuR03QvTshvWku9buTTVqL4i3upC;https://drive.google.com/uc?export=download&id=1GLNxyRAe-lkrw7vWmD1KuxoUm-Gd2gHT;https://drive.google.com/uc?export=download&id=1ciw6SQD1Rdu_tQ0kPir4vL7wskemVWfO;https://drive.google.com/uc?export=download&id=1gid7JqxsyqjO7EW5m-EvlhjQhsZueSSn;https://drive.google.com/uc?export=download&id=1v4xuL2dcMktuYSj-LHdBvp0QgxdmTy_3;https://drive.google.com/uc?export=download&id=1D5NUFslZ1BwalzeyIPnSi2zZfZXgL_fK;https://drive.google.com/uc?export=download&id=1irnACqpWa4kQvTaowpVgDrbazgaQOpzn,ALL the day,400EGP,450
402,Ubayyed Beach,"https://www.google.com/maps/search/?api=1&query=Ubayyed+Beach,+Marsa+Matrouh",Marsa Matrouh,May to October,Beach,"A serene beach with gentle waves and soft golden sands, perfect for family outings.",4.7,https://drive.google.com/uc?export=download&id=1KwWw-E7RJcrUw2CvCrdHXowkhDZTglWE;https://drive.google.com/uc?export=download&id=1VFDwTs2fFGLWFJ4uxpU9_UWm7L0Kaj8f;https://drive.google.com/uc?export=download&id=1d-mMARzQjq9pdMdyt4OfcDEEXwMWdclp;https://drive.google.com/uc?export=download&id=1YksOvkkNO5SiGXJh5RxjvdeyzpVeuCVa;https://drive.google.com/uc?export=download&id=1mWab3x3cvXfDQDlWxeWr2D5Rp3PfdY61;https://drive.google.com/uc?export=download&id=1t7S0Lz5v583GOrzcMs3ks-3KaR2CVjGu;https://drive.google.com/uc?export=download&id=13B9wUqkyfvN-OlWy2t5c4JGFWSl4_3jQ;https://drive.google.com/uc?export=download&id=1D7AgobD4HjZez_YbF8T3R4EJ4Uy0BNki;https://drive.google.com/uc?export=download&id=1atcgLf3aq8FnPv96Jtv31PDa88i4onhS,Morning (8 AM - 11 AM) or Late Afternoon (4 PM - Sunset),200EGP,450
403,lagouna beach,https://maps.app.goo.gl/W7cWHcGuXVFxxym18,Marsa Matrouh,May to October, Beach,"One of Matrouh s most famous beaches, known for its powdery white sand and crystal-clear waters.",3.7,https://drive.google.com/uc?export=download&id=1KVDOpPmorEvjuM6RhnSkcaPH_rd5nCnN;https://drive.google.com/uc?export=download&id=1a5sD0VBLSUF083KbhRbstq3xhZqZV3OE;https://drive.google.com/uc?export=download&id=1_X3MSm9rEYzbjfjgFhBaPWy4hjbeao45;https://drive.google.com/uc?export=download&id=1oe9vRBDUMS4Ok6_8REjN6VWO6tB9KujY;https://drive.google.com/uc?export=download&id=18rrZJcvGSbNc_nz55th3_U93eZurcx-P;https://drive.google.com/uc?export=download&id=1wbWK7UxK1o242VAD8AgLSkMBC9iIKtpr;https://drive.google.com/uc?export=download&id=1wbfdcyVqc8-F5zIYC3W7kS-_ZoPdgSQ2;https://drive.google.com/uc?export=download&id=1Umt69cQ79j1N3cupx5M4nWX0gZ-zpZu7;https://drive.google.com/uc?export=download&id=1Nf38GdcHYj6k_vEkffUaLL1QfpUbGZcS;https://drive.google.com/uc?export=download&id=1maGmVBXFwDjFwiMy1N9an7FvlP6u_vKA;https://drive.google.com/uc?export=download&id=1_6uJ6Dtscf1PCQzrO7-fst1Ue0v1PzSf;https://drive.google.com/uc?export=download&id=1eABLQlJ7Tf3eU_QHdA78n1diphV--1t-,Morning (8 AM - 11 AM) or Late Afternoon (4 PM - Sunset),200EGP,450
404,Old French Quarter,"https://www.google.com/maps/search/?api=1&query=Old+French+Quarter,+Port+Fouad",Port said,October to April,Historical,A historic neighborhood with colonial-style buildings and charming cafes.,3.7,https://drive.google.com/uc?export=download&id=1jd_8y6nOjpMYLA6kePEforWDMlY3PHjO;https://drive.google.com/uc?export=download&id=1xvyi1EBO3z61tU40Nk6kBW1IfJDBNDkW;https://drive.google.com/uc?export=download&id=1KJSQFSDURVhN6ZCtyjObTVXwlF5uigy8,Morning (8 AM - 12 PM) or Evening (5 PM - 8 PM),0 EGP,220
405,Port Fouad Beach,"https://www.google.com/maps/search/?api=1&query=Port+Fouad+Beach,+Port+Fouad",Port Fouad,March to October,Beach,"A serene stretch of coastline with soft sands and gentle waves, perfect for relaxation.",3.5,https://drive.google.com/uc?export=download&id=1pqXQGCt-4TcVwhFfDRrl1rKcqe3yLFHP;https://drive.google.com/uc?export=download&id=1wEJObLdhRCUeTfX4Nhe9vOK_SlP0maWP;https://drive.google.com/uc?export=download&id=1QJGa_Qv5si1UoQSdg5SUy6UKl7Y9deJW;https://drive.google.com/uc?export=download&id=1qOZRzWrdAG3TyxZTOGedy1Sdwk4eBTrg;https://drive.google.com/uc?export=download&id=1uxp4gvkleisq7-mcRhDwEkOWqN7YXNvr;https://drive.google.com/uc?export=download&id=150H4GZMHvMNn72hgVy_7k_Aqsb7Ag8Ka;https://drive.google.com/uc?export=download&id=168NWZko8FBC1MDxCGz3hrzPsS4hce0FQ;https://drive.google.com/uc?export=download&id=1lAsfTWOYHAjcqk-Kfj1sNSxHEi2v7HEM;https://drive.google.com/uc?export=download&id=1gXLLUHpvFa8NTC0UgJ6HD0qA3bpC6Li9;https://drive.google.com/uc?export=download&id=1_R3jdYwOKzrqvka2jvkDdGeyclpuQqsg;https://drive.google.com/uc?export=download&id=1zGbWaNnvKPlehi05fzmH692mHxkHsRKC,Morning (8 AM - 11 AM) or Late Afternoon (4 PM - Sunset),0 EGP,220
406,Port Fouad Central Mosque,"https://www.google.com/maps/search/?api=1&query=Port+Fouad+Central+Mosque,+Port+Fouad",Port Fouad,Year-round,Spiritual Retreat,A striking mosque known for its stunning architecture and spiritual significance.,3.9,https://drive.google.com/uc?export=download&id=1pqXQGCt-4TcVwhFfDRrl1rKcqe3yLFHP;https://drive.google.com/uc?export=download&id=1uxp4gvkleisq7-mcRhDwEkOWqN7YXNvr;https://drive.google.com/uc?export=download&id=150H4GZMHvMNn72hgVy_7k_Aqsb7Ag8Ka;https://drive.google.com/uc?export=download&id=168NWZko8FBC1MDxCGz3hrzPsS4hce0FQ;https://drive.google.com/uc?export=download&id=1lAsfTWOYHAjcqk-Kfj1sNSxHEi2v7HEM,Morning (8 AM - 12 PM) or Evening (5 PM - 8 PM),0 EGP,220
407,Port Fouad Ferry Terminal,"https://www.google.com/maps/search/?api=1&query=Port+Fouad+Ferry+Terminal,+Port+Fouad",Port Fouad,Year-round,Cultural and Scenic Experience,A bustling terminal connecting Port Fouad with Port Said via ferry service.,4.5,https://drive.google.com/uc?export=download&id=1VsVLdMu2b3Klq2KCe_pdesTBdJHrlbRQ;https://drive.google.com/uc?export=download&id=1RtoOBNDgxrmJmGSmKFdkNy5sD5WNQWJ0;https://drive.google.com/uc?export=download&id=1EVacFI3XTzt94zRJqrNpxSASPCBm0_tw;https://drive.google.com/uc?export=download&id=1WhZiFF-f8C3hv5O--sQXEyENZYtn0ClC;https://drive.google.com/uc?export=download&id=1eKGqU1Hdt0BRnc5vDjKGoAnRutvjcuEB,Morning (8 AM - 12 PM) or Afternoon (3 PM - sunset),0 EGP,220
408,Port Fouad Lighthouse,"https://www.google.com/maps/search/?api=1&query=Port+Fouad+Lighthouse,+Port+Fouad",Port Fouad,October to April,Cultural and Scenic Experience,A coastal beacon offering panoramic views of the Mediterranean Sea.,4.7,https://drive.google.com/uc?export=download&id=1AFVqA_IAjsEfzmuzIBdJWR1KIJFmYRGN;https://drive.google.com/uc?export=download&id=1nd_zCAi4CY0QLFNj2LhVILa3GWOd0x9q;https://drive.google.com/uc?export=download&id=1wkwGpb8H-ekZkLR78v2jkpQwX5Z0TSPQ,Morning (8 AM - 12 PM) or Evening (5 PM - 8 PM),0 EGP,220
409,Port Fouad Market Street,"https://www.google.com/maps/search/?api=1&query=Port+Fouad+Market+Street,+Port+Fouad",Port Fouad,Year-round,Cultural Experience,"Port Fouad Market Street in Port Fouad is a vibrant marketplace, brimming with local crafts, spices, and an authentic shopping experience.",4.3,https://drive.google.com/uc?export=download&id=1ZaMWgZt-WL4mHbjWasxW-Xh_KL9-BZjG,Morning (8 AM - 12 PM) or Evening (5 PM - 8 PM),0 EGP,220
410,Salt Mountains of Port Fouad,"https://www.google.com/maps/search/?api=1&query=Port+Fouad+Mosque,+Port+Fouad",Port Fouad,Year-round,Natural,A unique sight you won't find anywhere else.,4.9,https://drive.google.com/uc?export=download&id=1y3tBzT7fUstf0WK3_7nTqyyTVv4iiTOZ;https://drive.google.com/uc?export=download&id=10wa0aHrXKTdmu1_PMIIyQZ7_PyLZmpo0;https://drive.google.com/uc?export=download&id=1BCTQhGByXxrC3VbRD41M7gHdqRNSHQfi;https://drive.google.com/uc?export=download&id=1i-RhSx-2TRbQaxBOfeqG_hrOWKuOcdrI;https://drive.google.com/uc?export=download&id=1ACK_1R_eHxO-S3ndjJPwRVkqfsy3fsFm,Morning (9 AM - 12 PM) or late afternoon (3 PM - Sunset),50EGP,220
411,Port Fouad streets,"https://www.google.com/maps/search/?api=1&query=Port+Fouad+Palm+Gardens,+Port+Fouad",Port Fouad,Year-round,Nature Escape,A peaceful green oasis with palm trees and shaded walkways.,4,https://drive.google.com/uc?export=download&id=1Vp3fc3tbJ0TAlFgm_pBthxpowdXHUTla,Morning (9 AM - 12 PM) or Evening (5 PM - 8 PM),0 EGP,220
412,De Lesseps Walkway,"https://www.google.com/maps/search/?api=1&query=Port+Fouad+Seafront+Walkway,+Port+Fouad",Port Fouad,Year-round,Leisurely strolls,"A scenic path along the coast, ideal for evening strolls.",4.4,https://drive.google.com/uc?export=download&id=1yh5LM-zPjq7diWACdnIqvu5V7jmkPUrF,Evening (5 PM - 8 PM),0 EGP,220
413,Port Fouad Shipyard,"https://www.google.com/maps/search/?api=1&query=Port+Fouad+Shipyard,+Port+Fouad",Port Fouad,Year-round,Historical,A major shipbuilding and repair hub with historical significance.,4.9,https://drive.google.com/uc?export=download&id=10r4W3dJlu8EqJORdR_v6d_Z5Is2gLjRh;https://drive.google.com/uc?export=download&id=1B4RXKsvogAr-YtaUwsvIWfKzONH3H8x9;https://drive.google.com/uc?export=download&id=1z3yqDaQknvMqNIXDbuKitw4XVGJ7t5yT,Morning (8 AM - 12 PM) or Evening (5 PM - 8 PM),0 EGP,220
414,Port Fouad Yacht Club,"https://www.google.com/maps/search/?api=1&query=Port+Fouad+Yacht+Club,+Port+Fouad",Port Fouad,Year-round,Iconic Destination,A members-only club offering sailing activities and luxurious amenities.,4.9,https://drive.google.com/uc?export=download&id=1pqXQGCt-4TcVwhFfDRrl1rKcqe3yLFHP;https://drive.google.com/uc?export=download&id=1gXLLUHpvFa8NTC0UgJ6HD0qA3bpC6Li9;https://drive.google.com/uc?export=download&id=1_R3jdYwOKzrqvka2jvkDdGeyclpuQqsg;https://drive.google.com/uc?export=download&id=1zGbWaNnvKPlehi05fzmH692mHxkHsRKC;https://drive.google.com/uc?export=download&id=1dDISQYD-SofMnVHqtQxnCnUod2uF4nEA,Morning (8 AM - 12 PM) or Evening (5 PM - 8 PM),700EGP,220
415,Suez Canal Viewing Point,"https://www.google.com/maps/search/?api=1&query=Suez+Canal+Viewing+Point,+Port+Fouad",Port Fouad,Year-round,Cultural and Scenic Experience,A strategic location to watch massive ships pass through the Suez Canal.,4.5,https://drive.google.com/uc?export=download&id=1kBBmNnfq8GwaZaAMZ-s27QovwKaf9RcQ;https://drive.google.com/uc?export=download&id=1vDBWksjnYNrI4qWJXhUeWl44y2oZIJlU;https://drive.google.com/uc?export=download&id=1iTFRoszZxlKHLq3CRq7IbzSvs9RCwtZE;https://drive.google.com/uc?export=download&id=1isdsRJ_ossVWjADAmWQGHY4EqBB97ZMH;https://drive.google.com/uc?export=download&id=1yTOjJw-RBdagei0Rrv_ETIqNj6rdALqk,Morning (8 AM - 12 PM) or Evening (5 PM - 8 PM),300EGP,220
416,El Abbasi Mosque,"https://www.google.com/maps/search/?api=1&query=El+Abbasi+Mosque,+Port+Said",Port Said,Year-round,Spiritual Retreat,A historical mosque known for its beautiful Islamic architecture.,4.4,https://drive.google.com/uc?export=download&id=1U6S4_nBXAlNBV7gVZUlBokQflOvzZjp4,Morning (8 AM - 12 PM) or Evening (5 PM - 8 PM),0 EGP,200
417,Ganayen Beach,"https://www.google.com/maps/search/?api=1&query=Ganayen+Beach,+Port+Said",Port Said,March to October,Beach,A pristine Mediterranean beach with crystal-clear waters and soft sand.,4.4,https://drive.google.com/uc?export=download&id=1V8L0nRe2KPmlByyU0X6-CCPGjV2SztDt;https://drive.google.com/uc?export=download&id=1v5QZJ-ZUNtHzfDlvewGRpw4wt6QujYH-;https://drive.google.com/uc?export=download&id=1K5ebmcI3OyFWdf94g3N1ilUGP86LGmbA;https://drive.google.com/uc?export=download&id=15Qnvi3EKbEHXNmXSWn4Ws828Gdzj8LPq,Morning (8 AM - 11 AM) or Late Afternoon (4 PM - Sunset),50EGP,200
418,Port Said Corniche,"https://www.google.com/maps/search/?api=1&query=Port+Said+Corniche,+Port+Said",Port Said,Year-round,Cultural and Scenic Experience,A bustling waterfront promenade with vibrant markets and historic buildings.,5,https://drive.google.com/uc?export=download&id=1GUSZDYLXLSI3Cge7MFQrQmCTDHnjwqex;https://drive.google.com/uc?export=download&id=1Or8FwxWK8yxmw0VjeBvQr6RSzRn5qEd9;https://drive.google.com/uc?export=download&id=1s_aCoyZV8sLFzIIq3IYTAU7lq-HPfQCG;https://drive.google.com/uc?export=download&id=1NOkYG2FhSq5eEUlhNgcuWpPh76_KIVGY;https://drive.google.com/uc?export=download&id=1iMbfmJgmeFU8oyJs_QGV2nQF4uAdVFfQ,Morning (8 AM - 12 PM) orLate afternoon(3PM-5PM),0 EGP,200
419,Port Said Lighthouse,"https://www.google.com/maps/search/?api=1&query=Port+Said+Lighthouse,+Port+Said",Port Said,October to April,Cultural and Scenic Experience,"An iconic landmark of Port Said, offering panoramic views of the Mediterranean and the entrance to the Suez Canal.",4.6,https://drive.google.com/uc?export=download&id=1AFVqA_IAjsEfzmuzIBdJWR1KIJFmYRGN;https://drive.google.com/uc?export=download&id=1nd_zCAi4CY0QLFNj2LhVILa3GWOd0x9q;https://drive.google.com/uc?export=download&id=1wkwGpb8H-ekZkLR78v2jkpQwX5Z0TSPQ,Morning (8 AM - 12 PM) or Evening (5 PM - 8 PM),0 EGP,200
420,Port Said Military Museum,"https://www.google.com/maps/search/?api=1&query=Port+Said+Military+Museum,+Port+Said",Port Said,Year-round,Cultural,"Port Said Military Museum in Port Said showcases a vast collection of artifacts, offering a journey through Egypt rich history and cultural heritage.",3.7,https://drive.google.com/uc?export=download&id=148eEl6r73G-z8Bdy4X5pULUahg0d0LlG;https://drive.google.com/uc?export=download&id=19BmdwZQ-WPjh_JPwuHsGoXclOz71cNSC;https://drive.google.com/uc?export=download&id=1f8rCp7HyBSQyax-_FnB_p7wzVRjKcrzc,Morning (9 AM - 12 PM) or Late Afternoon (4 PM - 7 PM),50 EGP,200
421,Port Said National Library,"https://www.google.com/maps/search/?api=1&query=Port+Said+National+Library,+Port+Said",Port Said,"Year-round, best during morning hours",Architectural Marvel,"Port Said National Library in Port Said is a must-visit destination, offering visitors a unique blend of history, culture, and natural beauty.",4.6,https://drive.google.com/uc?export=download&id=1Xzc1I0LJGGbYJS0Ky7rTv_-iPR2Xh77U;https://drive.google.com/uc?export=download&id=1UgTSr7CA70nkPehh_QG_flnqGW6qwsJe,Morning (8 AM - 12 PM) or Evening (5 PM - 8 PM),50 EGP,200
422,Saint Eugene Church,"https://www.google.com/maps/search/?api=1&query=Saint+Eugene+Church,+Port+Said",Port Said,Year-round,Spiritual Landmark,"Saint Eugene Church in Port Said is a must-visit destination, offering visitors a unique blend of history, culture, and natural beauty.",4,https://drive.google.com/uc?export=download&id=1eyyBrXpXRyjPgr1nG6sLdpLvsx4X-67i;https://drive.google.com/uc?export=download&id=1cNWoAXHFfM0aJka1aDwfI5OasSByLDpz;https://drive.google.com/uc?export=download&id=1JVo4-sapn_Ed-IYs3u_vYkDzcyTqWBBw,Morning (8 AM - 12 PM) or Evening (5 PM - 8 PM),0 EGP,200
423,Ashtoum Elgameel,https://g.co/kgs/ShKFrVE,Port Said,October to April,Nature,"A serene natural reserve with peaceful lagoons, rare birds, and ancient island ruins",4.7,https://drive.google.com/uc?export=download&id=1ieuo8oPXX7IdMCt7ywV-G1dou2K4u61p;https://drive.google.com/uc?export=download&id=1nsDMpEvUcuJjE7Bj6Ng09q_aOLOkWU_V;https://drive.google.com/uc?export=download&id=11GhcIU8kzeT9Tjbw9kZHDyARwOzBFbWR;https://drive.google.com/uc?export=download&id=1P5pON5dXL4pg5b9zcjKmWKpSiuIpWRLp;https://drive.google.com/uc?export=download&id=1gDYI0ePdjxzd4x7P3ZCMTXWZCE8D8I_g;https://drive.google.com/uc?export=download&id=1e6llZewg_-AzecS9kzjdAUrznSDk9rXS,Morning (8 AM - 12 PM) or Evening (5 PM - 8 PM),0 EGP,200
